Ref,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",79.756000,-73.279000,180.000000,top
"C2","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",82.296000,-74.803000,0.000000,top
"C3","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",80.899000,-95.123000,90.000000,top
"C4","DNP/1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",81.026000,-71.755000,180.000000,top
"C5","4u7, 50V","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",92.964000,-69.469000,180.000000,top
"C6","4u7, 50V","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",87.884000,-69.469000,180.000000,top
"C7","DNP/1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",80.772000,-77.216000,90.000000,top
"C8","10nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",90.424000,-77.978000,0.000000,top
"C9","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",84.328000,-70.739000,90.000000,top
"C10","10uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",83.185000,-73.279000,0.000000,top
"D1","LED, yellow","LED_0805",89.600000,-98.900000,90.000000,top
"D2","LED, yellow","LED_0805",80.800000,-98.900000,90.000000,top
"D3","LED, green?","LED_0805",92.519000,-63.000000,180.000000,top
"D4","e.g. 1N4148, C917006, C708767","D_SOD-323F",81.407000,-91.440000,270.000000,top
"D5","e.g. 1N4148, C917006, C708767","D_SOD-323F",83.312000,-91.440000,270.000000,top
"R1","68","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",81.661000,-88.138000,90.000000,top
"R2","68","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",83.312000,-88.138000,90.000000,top
"R3","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",91.200000,-98.925000,90.000000,top
"R4","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",79.200000,-98.925000,90.000000,top
"R5","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",92.744000,-64.738000,0.000000,top
"R6","22k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",90.424000,-95.631000,180.000000,top
"R7","220","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",85.090000,-91.440000,270.000000,top
"R8","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",78.994000,-84.074000,90.000000,top
"R9","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",78.867000,-87.503000,270.000000,top
"R10","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",76.962000,-69.977000,90.000000,top
"R11","62k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",90.424000,-76.454000,180.000000,top
"R12","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",78.613000,-69.977000,90.000000,top
"R13","22k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",90.424000,-74.930000,0.000000,top
"SW1","SW_Push","SW_SPST_PTS810",85.075000,-99.031000,0.000000,top
"SW2","SW_Push","SW_SPST_PTS810",85.075000,-95.123000,0.000000,top
"U2","CH552G","SOIC-16_3.9x9.9mm_Pitch1.27mm",85.179192,-82.680020,90.000000,top
"U3","TPS7A4101DGNT","HVSSOP-8_3.0x3.0mm_P0.65mm",88.646000,-72.390000,0.000000,top
